timestep,time,satellite_id,constellation_name,latitude,longitude,sub_lat,sub_lon,altitude,coverage_radius_km,coverage_angle_rad,raan,mo
0,2025-05-12T00:00:00Z,SAT-90000,cloud_synthetic,2.750740280658383e-13,101.54048265624586,2.750740312058247e-13,101.54048265624586,3490.63194776739,4502.187838247369,0.7066689433758231,0.0,0.0
0,2025-05-12T00:00:00Z,SAT-90001,cloud_synthetic,-5.407821618339014e-14,161.54053142848832,-5.407821680069563e-14,161.54053142848832,3490.6408780400293,4502.192595925751,0.7066696901468767,0.0,1.0471975511965976
0,2025-05-12T00:00:00Z,SAT-90002,cloud_synthetic,-3.2912556656190927e-13,-138.45953398640242,-3.291255703188907e-13,-138.45953398640242,3490.6489807914463,4502.196912725203,0.7066703677170308,0.0,2.0943951023931953
0,2025-05-12T00:00:00Z,SAT-90003,cloud_synthetic,-2.750759194491411e-13,-78.45964817465824,-2.7507592258914383e-13,-78.45964817465824,3490.6481532862963,4502.196471866283,0.7066702985192722,0.0,3.141592653589793
0,2025-05-12T00:00:00Z,SAT-90004,cloud_synthetic,5.4053692493178e-14,-18.45969694697684,5.4053693110203665e-14,-18.45969694697684,3490.6392230269166,4502.19171420437,0.7066695517508037,0.0,4.1887902047863905
0,2025-05-12T00:00:00Z,SAT-90005,cloud_synthetic,3.291247216958903e-13,41.5403684679091,3.2912472545286893e-13,41.5403684679091,3490.6311202594256,4502.187397384908,0.7066688741775087,0.0,5.235987755982989
0,2025-05-12T00:00:00Z,SAT-90006,cloud_synthetic,-39.99994720696995,-44.22747393978951,-39.99994752530957,-44.22747393978951,3606.66875317757,4563.049746615194,0.7162219034084435,0.0,0.0
0,2025-05-12T00:00:00Z,SAT-90007,cloud_synthetic,55.682189527889136,-40.47944400588285,55.68218982913201,-40.47944400588285,3600.860073364369,4560.047845731631,0.7157507213516923,1.5707963267948966,4.1887902047863905
0,2025-05-12T00:00:00Z,SAT-90008,cloud_synthetic,-10.726088147480162,-79.33271017677913,-10.726088265811008,-79.33271017677913,3596.004165544938,4557.534793273143,0.7153562695453057,3.141592653589793,2.0943951023931953
0,2025-05-12T00:00:00Z,SAT-90009,cloud_synthetic,-39.999947207268086,-134.22747393945585,-39.999947525607716,-134.22747393945585,3606.6687531777366,4563.049746615279,0.7162219034084569,4.71238898038469,0.0
0,2025-05-12T00:00:00Z,SAT-90010,cloud_synthetic,-10.726088147225841,100.66728982337308,-10.726088265556685,100.66728982337308,3596.0041655448385,4557.53479327309,0.7153562695452975,0.0,2.0943951023931953
0,2025-05-12T00:00:00Z,SAT-90011,cloud_synthetic,-39.99994720685866,45.77252606008584,-39.99994752519827,45.77252606008584,3606.6687531774437,4563.049746615127,0.7162219034084331,1.5707963267948966,0.0
