NodeID,constellation_name,EnergyConsumption(W)
SAT-90000,cloud_synthetic,0.031868053333333334
SAT-90001,cloud_synthetic,0.032157740025782804
SAT-90002,cloud_synthetic,0.03153437333333333
SAT-90003,cloud_synthetic,0.03156411057167151
SAT-90004,cloud_synthetic,0.03184833889884819
SAT-90005,cloud_synthetic,0.03155765333333333
SAT-90006,cloud_synthetic,0.031865832055114854
SAT-90007,cloud_synthetic,0.031868053333333334
SAT-90008,cloud_synthetic,0.03153437333333333
SAT-90009,cloud_synthetic,0.031270533333333336
SAT-90010,cloud_synthetic,0.03170171138099372
SAT-90011,cloud_synthetic,0.03184477333333333
SAT-90012,cloud_synthetic,0.03232196429145616
SAT-90013,cloud_synthetic,0.03184477333333333
SAT-90014,cloud_synthetic,0.03110521941625614
SAT-90015,cloud_synthetic,0.03146453333333333
SAT-90016,cloud_synthetic,0.031868053333333334
SAT-90017,cloud_synthetic,0.030936853333333337
SAT-90018,edge_synthetic,0.031965238095238095
SAT-90019,edge_synthetic,0.03182666666666666
SAT-90020,edge_synthetic,0.03216847619047619
SAT-90021,edge_synthetic,0.03229216026656559
SAT-90022,edge_synthetic,0.03230704761904762
SAT-90023,edge_synthetic,0.03185439578789404
SAT-90024,edge_synthetic,0.03211865606024178
SAT-90025,edge_synthetic,0.03235054328936477
SAT-90026,edge_synthetic,0.031965238095238095
SAT-90027,edge_synthetic,0.03230704761904762
SAT-90028,edge_synthetic,0.03230704761904762
SAT-90029,edge_synthetic,0.032310447594417806
SAT-90030,edge_synthetic,0.03216847619047619
SAT-90031,edge_synthetic,0.03189198540982832
SAT-90032,edge_synthetic,0.03258854004289986
SAT-90033,edge_synthetic,0.03145714285714285
SAT-90034,edge_synthetic,0.03225161904761906
SAT-90035,edge_synthetic,0.03246728995669639
SAT-90036,edge_synthetic,0.03239698283724262
SAT-90037,edge_synthetic,0.031899280326836685
SAT-90038,edge_synthetic,0.031791630999346975
SAT-90039,edge_synthetic,0.031956689970580106
SAT-90040,edge_synthetic,0.03193752380952381
SAT-90041,edge_synthetic,0.031460928774392743
SAT-90042,mist_synthetic,0.04002169772786425
SAT-90043,mist_synthetic,0.043774854137311615
SAT-90044,mist_synthetic,0.04091228048872799
SAT-90045,mist_synthetic,0.037510258503740235
SAT-90046,mist_synthetic,0.0389624657066745
SAT-90047,mist_synthetic,0.04043529565112686
SAT-90048,mist_synthetic,0.040379811091445755
SAT-90049,mist_synthetic,0.04075010526516259
SAT-90050,mist_synthetic,0.039037036933918114
SAT-90051,mist_synthetic,0.03593809988087021
SAT-90052,mist_synthetic,0.040710565810032184
SAT-90053,mist_synthetic,0.0388891945616986
SAT-90054,mist_synthetic,0.036587833767411884
SAT-90055,mist_synthetic,0.0374836887828673
SAT-90056,mist_synthetic,0.03722925989859083
SAT-90057,mist_synthetic,0.037913238753725056
SAT-90058,mist_synthetic,0.03810988308145963
SAT-90059,mist_synthetic,0.03515144132281672
SAT-90060,mist_synthetic,0.04116018572172042
SAT-90061,mist_synthetic,0.03616153621888106
SAT-90062,mist_synthetic,0.04029387936750636
SAT-90063,mist_synthetic,0.040286567540457015
SAT-90064,mist_synthetic,0.042141842444775396
SAT-90065,mist_synthetic,0.03927568386497721
